time, m1, m2
1123, 0.140, 0.840
1124, 0.140, 0.840
1125, 0.140, 0.840
1126, 0.140, 0.840
1127, 0.140, 0.840
1128, 0.140, 0.840
1129, 0.140, 0.840
1130, 0.140, 0.840
1131, 0.140, 0.840
1132, 0.140, 0.840
1133, 0.140, 0.840
1134, 0.140, 0.840
1135, 0.140, 0.840
1136, 0.140, 0.840
1137, 0.140, 0.840
1138, 0.140, 0.840
1139, 0.140, 0.840
1140, 0.140, 0.840
1141, 0.140, 0.840
1142, 0.140, 0.840
1143, 0.140, 0.840
1144, 0.140, 0.840
1145, 0.140, 0.840
1146, 0.140, 0.840
1147, 0.140, 0.840
1148, 0.140, 0.840
1149, 0.140, 0.840
1150, 0.140, 0.840
